time,open,high,low,close,volume
2025-09-01,2350.29,2359.11,2345.18,2350.29,22363
2025-09-02,2350.29,2361.43,2341.74,2355.69,15632
2025-09-03,2355.69,2363.42,2350.03,2358.44,36047
2025-09-04,2358.44,2371.02,2353.62,2363.92,8883
2025-09-05,2363.92,2377.57,2359.25,2367.96,12811
2025-09-06,2367.96,2383.11,2361.81,2371.3,9608
2025-09-07,2371.3,2380.6,2364.85,2374.55,39272
2025-09-08,2374.55,2386.4,2369.43,2377.45,20067
2025-09-09,2377.45,2383.72,2371.4,2380.9,30518
2025-09-10,2380.9,2392.04,2371.1,2385.05,36956
2025-09-11,2385.05,2394.55,2378.89,2388.82,34693
2025-09-12,2388.82,2399.24,2379.75,2392.46,14913
2025-09-13,2392.46,2399.16,2385.59,2394.03,37269
2025-09-14,2394.03,2402.95,2384.48,2395.5,21372
2025-09-15,2395.5,2408.79,2385.36,2399.26,25813
2025-09-16,2399.26,2408.7,2389.99,2402.32,36118
2025-09-17,2402.32,2410.73,2396.02,2406.13,33218
2025-09-18,2406.13,2417.42,2400.38,2408.94,38572
2025-09-19,2408.94,2413.56,2403.9,2409.72,20108
2025-09-20,2409.72,2422.18,2400.27,2412.12,32243
2025-09-21,2412.12,2423.33,2405.39,2413.77,11777
2025-09-22,2413.77,2418.73,2407.92,2414.86,18586
2025-09-23,2414.86,2421.0,2405.65,2414.91,33555
2025-09-24,2414.91,2425.9,2406.82,2415.4,28263
2025-09-25,2415.4,2420.94,2406.26,2415.57,29916
2025-09-26,2415.57,2425.65,2406.75,2416.39,14786
2025-09-27,2416.39,2425.84,2409.58,2416.41,29827
2025-09-28,2416.41,2421.87,2409.99,2417.44,27436
2025-09-29,2417.44,2423.33,2408.52,2416.44,20384
2025-09-30,2416.44,2426.75,2408.12,2416.3,25842
2025-10-01,2416.3,2420.88,2408.58,2416.08,36563
2025-10-02,2416.08,2422.09,2405.62,2414.67,34168
2025-10-03,2414.67,2417.63,2407.39,2412.93,38732
2025-10-04,2412.93,2419.12,2407.0,2412.9,21130
2025-10-05,2412.9,2419.24,2407.83,2412.43,21624
2025-10-06,2412.43,2422.28,2404.48,2411.41,21302
2025-10-07,2411.41,2415.58,2405.64,2410.85,30810
2025-10-08,2410.85,2414.26,2403.52,2409.46,19559
2025-10-09,2409.46,2416.06,2404.11,2408.85,31532
2025-10-10,2408.85,2414.19,2404.12,2407.63,36651
2025-10-11,2407.63,2415.45,2397.07,2407.15,19329
2025-10-12,2407.15,2410.25,2403.82,2407.41,37034
2025-10-13,2407.41,2413.8,2399.61,2406.74,30044
2025-10-14,2406.74,2413.95,2401.01,2407.16,14145
2025-10-15,2407.16,2416.5,2398.47,2406.24,21496
2025-10-16,2406.24,2417.08,2397.27,2406.09,35737
2025-10-17,2406.09,2411.56,2399.06,2405.27,30227
2025-10-18,2405.27,2412.89,2396.51,2405.66,15688
2025-10-19,2405.66,2415.21,2398.09,2406.4,12081
2025-10-20,2406.4,2415.11,2397.99,2407.13,30461
2025-10-21,2407.13,2417.8,2402.14,2408.04,34650
2025-10-22,2408.04,2421.37,2403.72,2410.46,24312
2025-10-23,2410.46,2420.53,2404.23,2413.17,19829
2025-10-24,2413.17,2421.99,2405.29,2414.01,38352
2025-10-25,2414.01,2425.51,2409.86,2416.98,22913
2025-10-26,2416.98,2424.45,2409.34,2417.87,13861
2025-10-27,2417.87,2428.3,2410.52,2419.77,27590
